Target,Mail
ham,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amore', 'wat']"
ham,"['ok', 'lar', 'joking', 'wif', 'u', 'oni']"
spam,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'fa', 'receive', 'entry', 'questionstd', 'txt', 'ratetcs', 'apply']"
ham,"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']"
ham,"['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though']"
spam,"['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xxx', 'std', 'chgs', 'send', 'rcv']"
ham,"['even', 'brother', 'like', 'speak', 'treat', 'like', 'aid', 'patent']"
ham,"['per', 'request', 'melle', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'ha', 'set', 'callertune', 'caller', 'press', 'copy', 'friend', 'callertune']"
spam,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'claim', 'code', 'kl', 'valid', 'hour']"
spam,"['mobile', 'month', 'u', 'r', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'mobile', 'update', 'co', 'free']"
ham,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'ive', 'cried', 'enough', 'today']"
spam,"['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandcs', 'apply', 'reply', 'hl', 'info']"
spam,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
ham,"['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'wonderful', 'blessing', 'time']"
ham,"['date', 'sunday']"
spam,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
ham,"['oh', 'kim', 'watching']"
ham,"['eh', 'u', 'remember', 'spell', 'name', 'yes', 'v', 'naughty', 'make', 'v', 'wet']"
ham,"['fine', 'thats', 'way', 'u', 'feel', 'thats', 'way', 'gota', 'b']"
spam,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'england', 'trywales', 'scotland', 'txt', 'poboxoxwwq']"
ham,"['seriously', 'spell', 'name']"
ham,"['im', 'going', 'try', 'month', 'ha', 'ha', 'joking']"
ham,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'already']"
ham,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
ham,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']"
ham,"['lol', 'always', 'convincing']"
ham,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']"
ham,"['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'room']"
ham,"['ahhh', 'work', 'vaguely', 'remember', 'doe', 'feel', 'like', 'lol']"
ham,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'u']"
ham,"['yeah', 'got', 'wa', 'v', 'apologetic', 'n', 'fallen', 'wa', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badly', 'cheer']"
ham,"['k', 'tell', 'anything']"
ham,"['fear', 'fainting', 'housework', 'quick', 'cuppa']"
spam,"['thanks', 'subscription', 'ringtone', 'uk', 'mobile', 'charged', 'month', 'please', 'confirm', 'replying', 'yes', 'reply', 'charged']"
ham,"['yup', 'ok', 'go', 'home', 'look', 'timing', 'msg', 'xuhui', 'going', 'learn', 'nd', 'may', 'lesson']"
ham,"['oops', 'ill', 'let', 'know', 'roommate', 'done']"
ham,"['see', 'letter', 'b', 'car']"
ham,"['anything', 'lor', 'u', 'decide']"
ham,"['hello', 'hows', 'saturday', 'go', 'wa', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']"
ham,"['pls', 'go', 'ahead', 'watt', 'wanted', 'sure', 'great', 'weekend', 'abiola']"
ham,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummy']"
spam,"['rodger', 'burn', 'msg', 'tried', 'call', 'reply', 'sm', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'please', 'call', 'delivery', 'tomorrow']"
ham,['seeing']
ham,"['great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inch']"
ham,"['callsmessagesmissed', 'call']"
ham,"['didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']"
ham,"['fair', 'enough', 'anything', 'going']"
ham,"['yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']"
